  alg=yours
    1, 2622839
    2, 4282026
    4, 7329311
    8, 13525348
    18, 27074863
    36, 44287372
    54, 46871852
    72, 55990853
    90, 60961010
    108, 59738165
    126, 58060232
    144, 63759994
  alg=occ
    1, 2356671
    2, 2999333
    4, 5608231
    8, 10093060
    18, 22781269
    36, 40626072
    54, 52213272
    72, 66117935
    90, 76691244
    108, 88827597
    126, 100006945
    144, 107298099
  alg=yours
    1, 3063167
    2, 5993554
    4, 11777658
    8, 21887209
    18, 45012398
    36, 62975862
    54, 66039259
    72, 68814721
    90, 68972634
    108, 70072164
    126, 78903066
    144, 75383837
  alg=occ
    1, 2393500
    2, 4483382
    4, 8738490
    8, 17105429
    18, 36757785
    36, 56074063
    54, 67620404
    72, 83608668
    90, 92746872
    108, 106181654
    126, 117096426
    144, 124591191
  alg=yours
